,0
october 22,2561
22 2014,27
police say,2911
the ongoing,3889
globe and,1309
and mail,275
2014 the,25
ottawa police,2812
and their,307
had taken,1376
foley family,1178
death in,967
his release,1615
foley mother,1183
spoke on,3343
on condition,2729
condition of,882
of anonymity,2571
northern syria,2511
november 2012,2543
was recorded,4657
family and,1123
and friends,246
new hampshire,2445
libya in,2185
foley had,1179
one point,2779
videos and,4585
tell the,3482
come to,862
web site,4729
with them,4894
before his,590
of foley,2600
holding up,1626
said is,3115
the final,3727
took over,4443
is seen,1932
have caused,1438
been under,585
not clear,2514
clear whether,848
report in,3024
the worst,4089
the health,3760
working as,4924
his health,1598
seemed to,3194
the market,3834
of public,2653
made public,2238
condolences to,883
source told,3325
the start,4004
editor in,1066
off from,2693
was bomb,4617
bomb because,636
we felt,4709
felt an,1137
an expansive,192
expansive wave,1100
jorge santamaria,2067
the ap,3601
government spokeswoman,1334
the asteroid,3613
on aug,2722
statement said,3380
friday the,1262
week of,4735
house said,1648
just as,2078
will do,4847
told reporters,4432
the organization,3893
the youtube,4094
to audition,4252
of violence,2683
the islamist,3795
were abducted,4748
the truce,4046
been at,563
haram militants,1396
the al,3596
the leadership,3821
leadership of,2158
the operation,3891
support of,3431
friday that,1261
northern iraq,2509
state targets,3373
an al,175
iraq in,1870
strike on,3413
not confirm,2515
loss of,2221
government forces,1325
official in,2702
the murder,3862
parts of,2845
operations in,2793
has come,1407
without any,4899
the threat,4037
as quickly,430
quickly as,2974
can to,762
ruled out,3091
traveled to,4457
is taking,1939
confident that,885
purported to,2959
used the,4540
to purchase,4363
in orange,1778
video and,4564
the whole,4082
apartment and,346
clear that,847
enter the,1081
center in,801
even the,1088
university in,4500
the figure,3724
reporting by,3040
children and,815
least three,2165
the girl,3742
strong message,3419
it you,2038
be punished,545
into your,1859
we ask,4700
out this,2826
focus on,1173
read the,2988
see also,3186
the nun,3879
arrived at,410
june 2014,2077
wish to,4859
this isn,4170
isn the,1976
your thoughts,4995
confirmed to,893
time on,4229
we didn,4704
the watch,4072
is working,1952
really have,2994
the libyan,3824
the region,3949
fighters from,1151
the facility,3713
first reported,1166
the planes,3916
were used,4764
an innocent,198
the potential,3924
strikes on,3417
security council,3179
and saw,296
yet been,4962
that left,3541
managua international,2264
loud boom,2224
come forward,858
then all,4111
of sudden,2665
meteorite that,2317
the investigation,3788
associated with,448
with other,4887
that brown,3516
of territorial,2668
territorial studies,3485
wilfried strauch,4842
ask if,443
or something,2799
we need,4716
two canadian,4484
canadian soldiers,766
by man,736
possibility that,2917
about this,57
public view,2955
reports the,3051
seen in,3196
states and,3384
state is,3366
is because,1891
also be,149
told mashable,4430
north koreans,2506
of china,2587
have something,1461
share it,3218
is all,1882
see if,3189
laughed and,2146
an online,210
sources said,3327
no matter,2493
matter what,2277
didn have,1008
it can,1988
additional reporting,76
catfish in,784
girls and,1297
to normal,4347
re more,2984
hands and,1384
appeals to,349
it appears,1983
reports to,3052
the contrary,3673
organization who,2806
the who,4081
and iraqi,262
the severed,3978
on board,2725
soldiers and,3301
that comcast,3518
these reports,4134
using it,4543
campaign against,751
used by,4537
created by,923
it possible,2017
would like,4939
to is,4320
syrian town,3462
of raqqa,2654
the teen,4030
ceo tim,804
today and,4424
did the,1006
to multiple,4343
the four,3736
an old,208
called for,746
for those,1231
in three,1811
for them,1229
them but,4105
48 hours,37
the globe,3745
you were,4986
was posted,4651
airstrikes in,118
as for,415
post was,2925
but with,714
isis had,1959
to verify,4419
loyal to,2228
to isis,4322
kobani and,2123
of kobani,2630
is reported,1927
saw the,3146
to people,4355
an earlier,187
there also,4118
posted online,2928
official told,2705
free beacon,1254
for control,1202
on top,2760
follow him,1188
is possible,1925
online tuesday,2784
syrian border,3457
border town,644
information and,1835
state the,3375
been verified,586
ottawa on,2811
provided by,2953
on behalf,2724
behalf of,598
to those,4411
outlets reported,2829
since june,3270
swaths of,3447
but all,686
to support,4399
also told,156
to enter,4288
center for,800
his left,1604
intelligence officials,1846
party of,2846
we get,4711
coming out,870
could also,910
was officially,4645
than 48,3497
the supreme,4021
his arrival,1577
at massachusetts,462
massachusetts general,2275
general hospital,1289
vital arteries,4589
heart to,1527
normal rhythm,2500
voice and,4594
holy mother,1629
the archdiocese,3606
neal says,2433
the holy,3767
son and,3313
while she,4814
she thought,3228
degree in,978
via the,4559
public and,2954
000 times,3
come as,857
and given,250
in retaliation,1792
retaliation for,3068
said wednesday,3134
an act,171
central command,802
from iraq,1273
iraq have,1869
held captive,1530
captive by,771
nearly two,2438
mosul dam,2392
of iraqi,2617
death and,965
caitlin hayden,743
hayden said,1468
david cameron,944
have joined,1445
scotland yard,3172
investigation into,1862
east of,1058
genuine we,1290
the committee,3667
foley 40,1175
last night,2136
days ago,952
be independently,538
of baghdad,2577
the conflict,3670
admiral john,77
that might,3546
the turkish,4049
turkish border,4473
also confirmed,151
syrian turkish,3463
million in,2348
of 12,2563
the purported,3940
aimed at,110
father of,1132
the office,3882
apple has,360
the macbook,3830
13 inch,14
11 inch,10
inch version,1827
quarter of,2968
keep the,2090
usb type,4534
means that,2288
in mid,1765
the kind,3807
this could,4167
of abu,2565
an airstrike,174
an aide,172
aide to,109
daily beast,936
security official,3183
what she,4775
city in,826
the target,4029
daughter was,943
possible to,2919
are fighting,379
it unclear,2029
said this,3130
ongoing investigation,2783
sure it,3436
friends and,1264
the memorial,3842
an unnamed,216
chosun ilbo,819
that kim,3540
he left,1492
the 31,3583
31 year,34
the foreign,3734
mr haines,2399
my heart,2413
humanitarian aid,1659
kneeling in,2113
latest video,2145
man believed,2254
and says,297
libya and,2184
thoughts and,4202
and prayers,291
prayers are,2932
are with,394
deepest condolences,974
campaign in,752
fighters and,1150
haines and,1379
with higher,4875
the killer,3805
23 year,28
be foley,533
that bary,3512
bin laden,624
the sunday,4020
sunday times,3429
of at,2576
former hostages,1243
identified the,1668
the brutal,3643
decision the,971
shooting of,3237
we expect,4707
why is,4837
makes it,2248
points out,2900
don think,1035
identity is,1670
sandy summers,3143
have identified,1443
aside from,442
to new,4346
picking up,2883
who lives,4826
update this,4523
have some,1460
in english,1729
fears that,1134
the graves,3749
currently in,933
refusing to,3007
from youtube,1282
his new,1608
new home,2446
versions of,4554
all they,141
military and,2344
the chief,3659
of defence,2592
defence staff,976
of boko,2581
who spoke,4832
official who,2706
citing an,823
comes as,865
late apple,2139
film is,1158
major heart,2243
causing the,792
bright fireball,660
in contact,1723
they heard,4146
were no,4759
qaeda in,2966
somers was,3309
mr somers,2401
october 2014,2560
we could,4702
the box,3639
was placed,4650
in high,1739
new offices,2448
been reported,579
asteroid 2014,449
near earth,2434
price of,2944
the interview,3787
thursday that,4215
in kuwait,1755
that emwazi,3524
graduated from,1338
with degree,4869
in computer,1722
and steven,303
sotloff and,3321
have used,1467
stephens said,3388
know we,2117
so sorry,3292
left for,2174
queen park,2971
peter kassig,2875
september 2014,3203
british security,665
severed head,3216
knife and,2114
journalists james,2074
haruna yukawa,1399
newspaper said,2471
2012 the,22
appalled by,348
brutal murder,677
bureau of,681
seeking to,3192
million for,2347
the iconic,3774
sources the,3329
an oscar,213
film has,1157
and white,325
the staff,4003
was allegedly,4607
may also,2278
say it,3148
made from,2234
miss smith,2358
my family,2411
move to,2394
the veyron,4062
his account,1572
that macaulay,3543
he first,1484
there will,4131
militants who,2343
days before,953
were taken,4761
has reached,1421
government to,1336
from several,1277
have suffered,1462
boyle is,655
the instagram,3783
will am,4844
their new,4098
been missing,575
free james,1255
the hoaxer,3765
the apartment,3602
his hands,1596
are reporting,388
the loss,3829
manhattan apartment,2265
released statement,3017
brown and,669
police department,2905
of dollars,2594
captures the,775
where brown,4792
background of,505
evidence in,1094
said wilson,3135
wilson fired,4858
hands up,1386
boom boom,638
10 days,5
to indicate,4317
lawyers for,2151
family have,1124
brown at,670
st louis,3352
louis county,2225
grand jury,1339
on whether,2767
abducted in,47
the agreement,3591
taken on,3470
to further,4299
responsibility for,3061
state as,3359
against islamic,95
test for,3492
foley the,1185
joel sotloff,2054
american freelance,164
august 2013,487
this american,4163
american citizen,163
citizen obama,824
obama depends,2555
your next,4992
next decision,2473
innocent american,1838
of you,2690
complacency and,878
and criminality,236
foley is,1181
freedom and,1258
family once,1128
that ship,3555
ship has,3234
has sailed,1425
sailed guess,3137
guess all,1359
all wish,142
wish wasn,4860
your country,4991
aggression towards,102
strikes have,3415
large number,2132
of life,2632
man on,2258
threatened to,4205
clothes and,852
that both,3515
thought we,4201
wonderful little,4910
and wonderful,328
little girl,2200
girl who,1296
my daughter,2410
was diagnosed,4624
we spent,4720
have sold,1459
and everything,241
china with,816
purchase her,2958
are both,375
four hours,1250
my husband,2414
miss bethell,2357
led coalition,2170
said isis,3116
will start,4855
mr obama,2400
syrian city,3458
for over,1219
syrian government,3459
be at,531
convinced that,908
though that,4195
the metal,3845
spokeswoman for,3350
and how,258
while in,4812
then that,4115
he heard,1489
had killed,1370
bale who,513
won an,4907
the launch,3817
some kind,3303
the condition,3669
29 2014,31
redacted taibbi,3002
taibbi quote,3464
to read,4367
because you,559
john has,2055
is making,1917
certain that,805
unless they,4502
an iraqi,204
travelling with,4459
dulaimi was,1048
nusra front,2551
and children,234
the fighters,3723
that islamic,3536
watch said,4689
independently verified,1831
be announced,530
schoolgirls the,3170
of islam,2620
originally from,2808
it hasn,2000
us led,4531
the symptoms,4023
symptoms of,3448
in icloud,1742
media will,2298
said her,3111
department the,983
tour of,4449
who spent,4831
hassan tukur,1431
cautiously optimistic,794
territory in,3486
military has,2345
mike omeri,2334
in similar,1795
is part,1924
november 22,2544
22 2012,26
is has,1904
the rcmp,3942
the safety,3965
our deepest,2815
son was,3317
fatally shot,1129
high risk,1553
his passport,1612
an unidentified,215
unidentified man,4497
baghdadi the,507
no immediate,2491
session of,3208
supreme people,3435
people assembly,2860
in pyongyang,1787
to power,4358
to hit,4313
recorded the,2998
not hear,2522
hear these,1516
these words,4135
the taliban,4026
still being,3393
an impact,196
mr foley,2398
the unidentified,4053
are appalled,372
told nbc,4431
brown in,672
in ferguson,1733
its authenticity,2039
to cnn,4267
newfangled mechanical,2454
mechanical gadgetry,2291
and despite,239
appearing in,354
office in,2699
watch as,4685
freelance journalist,1259
has previously,1420
reuters reported,3074
service would,3207
reported earlier,3032
bashar al,522
al assad,119
to control,4274
the strikes,4013
in both,1716
qaida in,2967
the guinness,3754
guinness book,1360
book catfish,637
isis controlled,1957
the deal,3684
kobani the,2124
still the,3395
the speech,4001
by apple,721
in captivity,1717
hot property,1641
the ferguson,3721
ferguson mo,1141
in islamic,1747
mr emwazi,2397
worker peter,4922
japanese hostages,2047
video on,4574
global post,1308
jordanian fighter,2065
met with,2315
shots are,3246
officer wilson,2701
seconds of,3176
that wilson,3574
the 18,3580
month that,2374
people said,2863
or it,2797
rights group,3080
of hostages,2612
qureshi said,2976
while covering,4810
guantanamo bay,1356
the prisoner,3930
what will,4781
me is,2285
only result,2785
isil the,1953
the areas,3608
the arabian,3604
arabian peninsula,368
being burned,604
igen fr,1684
one being,2771
inch model,1826
air could,111
will use,4856
some have,3302
with knowledge,4881
her brother,1534
the korean,3810
jong is,2063
the cases,3652
page six,2836
early 2015,1056
water resistant,4695
line with,2195
not independently,2525
cnn the,854
community is,875
determine its,996
authenticity if,490
if genuine,1674
we express,4708
express our,1105
in binesh,1713
of negotiations,2643
the chibok,3658
watch sport,4690
the talks,4027
her client,1536
cnn that,853
her meal,1542
son they,3315
mr abdulla,2396
person scared,2873
scared of,3164
an intelligence,200
the mass,3836
up its,4513
al britani,121
of ferguson,2598
miles north,2336
patients with,2850
omar said,2718
several countries,3214
in frisco,1734
frisco texas,1266
250 miles,30
terror suspects,3488
suspects had,3444
for justice,1214
power connector,2931
